auc_RNA,F1Score_RNA,FPR_RNA,txDET_RNA,auc_MSC,F1Score_MSC,FPR_MSC,txDET_MSC,n_hidden,n_neurons,learning_rate,optimizer,hidden_func,lstm
0.6012578187861723,0.22206896551724137,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,1,48,0.0001281816245332117,adam,relu,56
0.7028214765607983,0.2893165228931653,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,17,100,6.280394366463152e-05,adam,relu,297
0.6543860294739272,0.2626262626262626,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,10,25,0.00011334029441698387,adam,relu,32
0.6322935139258686,0.25084745762711863,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,18,176,7.894767949679728e-06,adam,tanh,105
0.6265842708251487,0.29477858559153997,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,9,495,1.777082022288254e-05,adam,tanh,77
0.5956475382199276,0.16274089935760172,4.8019207683073235,95.19807923169267,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,17,386,3.2895170120868928e-06,adam,relu,220
0.6074118959928628,0.2438692098092643,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,12,578,2.001732563963614e-05,adam,tanh,180
0.5996115098897885,0.23666210670314639,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,4,617,2.6738914572793566e-05,adam,tanh,476
0.6003825722501097,0.2522033898305085,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,6,227,1.3814233980420298e-05,adam,tanh,369
0.7545773901938572,0.3742911153119093,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,10,490,8.902418441786163e-05,adam,relu,494
0.5860921833522141,0.18706047819971872,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,10,432,1.4385757304696515e-06,adam,relu,361
0.6033084319063168,0.23045267489711935,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,3,417,0.006617112606580354,sgd,tanh,347
0.5907655522855373,0.18947368421052632,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,19,30,4.3787505051824465e-05,adam,tanh,310
0.5919366918266893,0.200836820083682,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,9,39,0.004577503303338346,sgd,relu,359
0.5846027723434031,0.13862815884476534,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,19,335,0.003934324520081101,sgd,relu,450
0.583227988792866,0.1320754716981132,4.921968787515006,95.19807923169267,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,8,119,0.0007057388874116502,adam,relu,60
0.5600011338421036,0.08333333333333333,4.861944777911164,95.13805522208884,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,7,92,0.00029977460462040034,adam,tanh,233
0.5829027551368517,0.15318539727988548,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,18,462,0.0025792853876186505,sgd,relu,385
